Country,Age,YearsCode,EdLevel,WorkExp,Currency,CompTotal,ConvertedCompYearly,Rate,gini_index,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank
Sweden,49,41,3,26.0,SEK,510000.0,46992.0,11.0,29.3,0.952,19.0,12.7,5.0
France,39,10,4,9.0,EUR,60000.0,64254.0,0.93,32.4,0.91,16.0,11.7,27.0
India,21,5,5,1.0,INR,420000.0,5089.0,83.0,35.7,0.644,12.6,6.6,135.0
Germany,49,32,5,26.0,EUR,74000.0,79246.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,59,44,3,38.0,EUR,70000.0,74963.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,21,11,6,4.0,EUR,57000.0,61041.0,0.93,31.7,0.95,17.3,14.3,7.0
Israel,39,26,2,18.0,ILS,520000.0,138985.0,3.8,38.6,0.915,15.0,13.4,26.0
Ukraine,29,14,6,13.0,USD,33000.0,33000.0,1.0,25.6,0.734,13.3,11.1,86.0
Germany,29,8,6,3.0,EUR,52000.0,55687.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,49,31,5,30.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Russian Federation,29,11,6,8.0,RUB,4880000.0,60393.0,96.5,36.0,0.821,15.7,12.4,55.0
Germany,39,23,5,10.0,EUR,72000.0,77104.0,0.93,31.7,0.95,17.3,14.3,7.0
Sweden,39,13,5,8.0,SEK,1420000.0,130841.0,11.0,29.3,0.952,19.0,12.7,5.0
Germany,49,28,5,25.0,EUR,85000.0,91026.0,0.93,31.7,0.95,17.3,14.3,7.0
Finland,29,11,6,5.0,EUR,65000.0,69608.0,0.93,27.7,0.942,19.2,12.9,11.0
Poland,39,29,3,20.0,PLN,13000.0,3110.0,4.3,30.2,0.881,15.9,13.2,35.0
India,29,5,6,2.0,INR,300000.0,3635.0,83.0,35.7,0.644,12.6,6.6,135.0
Serbia,39,26,5,17.0,EUR,8400.0,8996.0,0.93,34.5,0.805,14.5,11.5,60.0
United States,59,34,6,32.0,USD,15400.0,15400.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,11,5,7.0,EUR,75000.0,80317.0,0.93,31.7,0.95,17.3,14.3,7.0
Dominican Republic,29,7,3,3.0,DOP,13000.0,238.0,56.7,39.6,0.766,13.6,9.2,84.0
Italy,39,21,5,15.0,EUR,18000.0,19276.0,0.93,35.2,0.906,16.7,10.7,30.0
Italy,29,13,7,4.0,EUR,20000.0,21418.0,0.93,35.2,0.906,16.7,10.7,30.0
Italy,21,9,0,2.0,EUR,18000.0,19276.0,0.93,35.2,0.906,16.7,10.7,30.0
Portugal,29,5,3,9.0,EUR,24000.0,25701.0,0.93,32.8,0.874,16.8,9.6,39.0
Switzerland,39,16,5,10.0,CHF,140000.0,154303.0,0.9,33.1,0.967,16.6,13.9,1.0
Canada,39,31,5,22.0,CAD,240000.0,178443.0,1.36,33.3,0.935,16.0,13.9,16.0
Germany,39,26,2,13.0,EUR,75819.0,81194.0,0.93,31.7,0.95,17.3,14.3,7.0
Israel,39,15,5,9.0,ILS,402000.0,107446.0,3.8,38.6,0.915,15.0,13.4,26.0
Germany,29,11,6,4.0,EUR,40579.0,43456.0,0.93,31.7,0.95,17.3,14.3,7.0
Netherlands,39,15,5,14.0,EUR,70000.0,74963.0,0.93,29.2,0.946,18.6,12.6,11.0
Bangladesh,29,7,5,3.0,BDT,1200000.0,11156.0,109.5,32.4,0.67,11.9,7.4,130.0
India,29,19,6,12.0,INR,2200000.0,26657.0,83.0,35.7,0.644,12.6,6.6,135.0
Germany,39,28,6,21.0,EUR,140000.0,149925.0,0.93,31.7,0.95,17.3,14.3,7.0
Poland,29,18,6,13.0,PLN,305000.0,72975.0,4.3,30.2,0.881,15.9,13.2,35.0
United Kingdom,39,16,4,15.0,GBP,56000.0,69517.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,39,23,7,12.0,EUR,72000.0,77104.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,49,12,6,24.0,GBP,15000.0,18621.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,29,16,2,13.0,EUR,65000.0,69608.0,0.93,31.7,0.95,17.3,14.3,7.0
Netherlands,29,11,5,4.0,EUR,48000.0,51403.0,0.93,29.2,0.946,18.6,12.6,11.0
United States,29,20,5,10.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
India,21,7,5,1.0,INR,1050000.0,12723.0,83.0,35.7,0.644,12.6,6.6,135.0
Switzerland,29,16,6,3.0,CHF,105000.0,115727.0,0.9,33.1,0.967,16.6,13.9,1.0
India,29,6,5,1.0,INR,400000.0,4847.0,83.0,35.7,0.644,12.6,6.6,135.0
Germany,39,22,5,14.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
Poland,49,34,3,23.0,PLN,8500.0,2034.0,4.3,30.2,0.881,15.9,13.2,35.0
Italy,29,7,1,5.0,EUR,17000.0,18205.0,0.93,35.2,0.906,16.7,10.7,30.0
Germany,29,11,5,5.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
Austria,29,14,6,5.0,EUR,57400.0,61469.0,0.93,30.2,0.926,16.4,12.3,22.0
India,39,13,5,8.0,INR,2000000.0,24234.0,83.0,35.7,0.644,12.6,6.6,135.0
Finland,29,12,6,8.0,EUR,4300.0,4605.0,0.93,27.7,0.942,19.2,12.9,11.0
Norway,49,31,5,7.0,NOK,850000.0,77021.0,10.7,27.7,0.966,18.6,13.1,2.0
Norway,29,14,5,2.0,NOK,1000000.0,90613.0,10.7,27.7,0.966,18.6,13.1,2.0
Canada,39,25,0,21.0,CAD,87000.0,64686.0,1.36,33.3,0.935,16.0,13.9,16.0
South Africa,39,21,2,20.0,ZAR,1200000.0,62246.0,19.2,63.0,0.717,14.3,11.6,105.0
United Kingdom,49,33,7,22.0,GBP,12000.0,14897.0,0.81,35.1,0.94,17.6,13.4,17.0
Brazil,29,7,5,6.0,BRL,200000.0,40575.0,5.01,48.9,0.76,15.6,8.3,84.0
Ukraine,29,6,6,6.0,UAH,1800000.0,48813.0,36.8,25.6,0.734,13.3,11.1,86.0
Germany,29,9,5,5.0,EUR,56000.0,59970.0,0.93,31.7,0.95,17.3,14.3,7.0
Ukraine,29,14,5,8.0,UAH,60000.0,1627.0,36.8,25.6,0.734,13.3,11.1,86.0
Germany,39,26,5,23.0,EUR,61000.0,65325.0,0.93,31.7,0.95,17.3,14.3,7.0
Uzbekistan,29,5,5,1.0,UZS,5000000.0,437.0,12000.0,35.3,0.727,12.0,11.9,105.0
Switzerland,49,26,6,25.0,CHF,120000.0,132260.0,0.9,33.1,0.967,16.6,13.9,1.0
Slovenia,29,8,6,5.0,EUR,5000.0,5354.0,0.93,24.4,0.926,17.4,12.9,24.0
India,29,14,5,9.0,INR,5400000.0,65431.0,83.0,35.7,0.644,12.6,6.6,135.0
India,29,16,5,4.0,INR,540000.0,6543.0,83.0,35.7,0.644,12.6,6.6,135.0
Germany,29,9,3,5.0,EUR,54000.0,57828.0,0.93,31.7,0.95,17.3,14.3,7.0
Greece,39,25,5,20.0,EUR,2300.0,2463.0,0.93,33.1,0.893,20.0,11.4,33.0
United States,39,23,6,16.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,39,17,6,11.0,PLN,18000.0,4307.0,4.3,30.2,0.881,15.9,13.2,35.0
Brazil,29,9,3,1.0,BRL,18000.0,3652.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,39,16,6,11.0,USD,175000.0,175000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,39,16,3,13.0,EUR,98000.0,104948.0,0.93,32.4,0.91,16.0,11.7,27.0
Luxembourg,29,16,7,10.0,EUR,40000.0,42836.0,0.93,34.2,0.927,14.2,13.0,19.0
Italy,39,24,6,13.0,EUR,42000.0,44978.0,0.93,35.2,0.906,16.7,10.7,30.0
Italy,39,21,3,14.0,EUR,2200.0,2356.0,0.93,35.2,0.906,16.7,10.7,30.0
Italy,29,11,6,5.0,EUR,64000.0,68537.0,0.93,35.2,0.906,16.7,10.7,30.0
Germany,39,23,6,15.0,EUR,6200.0,6640.0,0.93,31.7,0.95,17.3,14.3,7.0
Indonesia,21,7,2,3.0,IDR,4000000.0,269.0,15350.0,37.9,0.713,14.0,8.6,113.0
Ireland,59,49,7,40.0,EUR,145000.0,155280.0,0.93,30.6,0.95,19.1,11.7,9.0
Germany,29,14,6,6.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
Austria,29,16,5,14.0,EUR,110000.0,117798.0,0.93,30.2,0.926,16.4,12.3,22.0
India,21,7,5,3.0,INR,650000.0,7876.0,83.0,35.7,0.644,12.6,6.6,135.0
Georgia,39,11,6,9.0,GEL,50000.0,19152.0,2.65,34.5,0.814,16.7,12.7,59.0
France,29,8,0,4.0,EUR,36400.0,38981.0,0.93,32.4,0.91,16.0,11.7,27.0
Nepal,29,10,5,5.0,NPR,2400000.0,18190.0,132.0,32.8,0.601,12.6,4.5,149.0
Netherlands,29,11,6,5.0,EUR,65000.0,69608.0,0.93,29.2,0.946,18.6,12.6,11.0
Austria,29,18,6,7.0,EUR,56000.0,59970.0,0.93,30.2,0.926,16.4,12.3,22.0
Benin,21,5,5,1.0,XOF,3500000.0,5715.0,610.0,37.8,0.504,10.3,3.1,173.0
Germany,29,5,2,3.0,EUR,39000.0,41765.0,0.93,31.7,0.95,17.3,14.3,7.0
Denmark,21,13,5,5.0,DKK,540000.0,77644.0,6.92,27.7,0.952,18.8,13.0,8.0
United States,29,18,5,13.0,USD,215000.0,215000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,29,8,6,3.0,PLN,200000.0,47852.0,4.3,30.2,0.881,15.9,13.2,35.0
United Kingdom,49,26,6,15.0,GBP,50000.0,62069.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,17,6,14.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,29,7,0,5.0,PLN,223200.0,53403.0,4.3,30.2,0.881,15.9,13.2,35.0
Germany,29,8,3,5.0,EUR,48000.0,51403.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,29,19,6,15.0,EUR,190000.0,203470.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,29,14,7,3.0,EUR,110000.0,117798.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,29,8,5,3.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
France,21,8,6,1.0,EUR,31500.0,33733.0,0.93,32.4,0.91,16.0,11.7,27.0
India,29,6,5,2.0,INR,1000000.0,12117.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,39,5,6,15.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Sweden,39,22,6,21.0,SEK,550800.0,50752.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,29,9,5,7.0,USD,165974.0,165974.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,59,43,7,20.0,GBP,33000.0,40966.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,27,5,27.0,USD,192000.0,192000.0,1.0,41.5,0.927,16.4,13.6,21.0
Ukraine,29,11,6,7.0,USD,90000.0,90000.0,1.0,25.6,0.734,13.3,11.1,86.0
Germany,29,19,5,7.0,EUR,96000.0,102806.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,49,36,5,27.0,USD,145000.0,145000.0,1.0,41.5,0.927,16.4,13.6,21.0
Lithuania,29,16,5,10.0,EUR,36000.0,38552.0,0.93,35.3,0.879,16.4,13.5,36.0
Spain,39,23,6,13.0,EUR,60000.0,64254.0,0.93,34.3,0.911,17.8,10.6,28.0
Slovenia,29,11,3,10.0,EUR,45000.0,48190.0,0.93,24.4,0.926,17.4,12.9,24.0
United States,21,14,2,2.0,USD,70000.0,70000.0,1.0,41.5,0.927,16.4,13.6,21.0
Portugal,39,23,6,18.0,EUR,100000.0,107090.0,0.93,32.8,0.874,16.8,9.6,39.0
Tajikistan,29,11,6,8.0,TJS,400000.0,36687.0,10.9,34.0,0.679,10.9,11.3,125.0
Switzerland,29,14,5,13.0,CHF,100000.0,110216.0,0.9,33.1,0.967,16.6,13.9,1.0
India,29,7,6,4.0,INR,1400000.0,16964.0,83.0,35.7,0.644,12.6,6.6,135.0
Spain,49,26,6,18.0,EUR,50000.0,53545.0,0.93,34.3,0.911,17.8,10.6,28.0
Germany,29,16,6,10.0,EUR,48000.0,51403.0,0.93,31.7,0.95,17.3,14.3,7.0
India,29,19,5,12.0,INR,2172000.0,26318.0,83.0,35.7,0.644,12.6,6.6,135.0
Luxembourg,29,10,6,3.0,EUR,55000.0,58899.0,0.93,34.2,0.927,14.2,13.0,19.0
Russian Federation,39,11,5,10.0,USD,90000.0,90000.0,1.0,36.0,0.821,15.7,12.4,55.0
Canada,29,13,5,6.0,CAD,150000.0,111527.0,1.36,33.3,0.935,16.0,13.9,16.0
Germany,29,12,6,9.0,EUR,52000.0,55687.0,0.93,31.7,0.95,17.3,14.3,7.0
Netherlands,29,15,4,5.0,EUR,30000.0,32127.0,0.93,29.2,0.946,18.6,12.6,11.0
Hungary,39,27,6,26.0,HUF,75000000.0,217530.0,358.0,30.0,0.851,15.1,12.2,46.0
United States,29,8,5,7.0,USD,126000.0,126000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,39,20,5,11.0,EUR,90000.0,96381.0,0.93,29.2,0.946,18.6,12.6,11.0
Malta,29,26,6,15.0,EUR,95000.0,101735.0,0.93,31.0,0.915,15.9,12.2,25.0
United States,49,44,7,28.0,USD,183000.0,183000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,18,6,15.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
Belgium,39,21,6,15.0,EUR,100000.0,107090.0,0.93,27.2,0.942,18.9,12.5,13.0
Spain,29,14,5,8.0,EUR,70000.0,74963.0,0.93,34.3,0.911,17.8,10.6,28.0
Spain,39,19,5,11.0,EUR,28000.0,29985.0,0.93,34.3,0.911,17.8,10.6,28.0
Germany,29,12,6,4.0,EUR,70000.0,74963.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,39,19,3,13.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Israel,29,10,5,6.0,ILS,660000.0,176404.0,3.8,38.6,0.915,15.0,13.4,26.0
United States,49,30,5,25.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Australia,29,16,5,5.0,AUD,80000.0,52883.0,1.55,34.3,0.946,21.1,12.7,5.0
Russian Federation,49,38,6,25.0,RUB,2400000.0,29702.0,96.5,36.0,0.821,15.7,12.4,55.0
Austria,29,17,6,14.0,EUR,93000.0,99593.0,0.93,30.2,0.926,16.4,12.3,22.0
Germany,29,11,5,1.0,EUR,39000.0,41765.0,0.93,31.7,0.95,17.3,14.3,7.0
Greece,39,25,6,16.0,EUR,42000.0,44978.0,0.93,33.1,0.893,20.0,11.4,33.0
United Kingdom,29,6,7,4.0,GBP,70000.0,86897.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,7,2,5.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,11,4,8.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Bangladesh,29,5,5,2.0,BDT,600000.0,5578.0,109.5,32.4,0.67,11.9,7.4,130.0
Canada,39,21,3,8.0,CAD,85000.0,63199.0,1.36,33.3,0.935,16.0,13.9,16.0
Poland,29,11,5,7.0,PLN,192000.0,45938.0,4.3,30.2,0.881,15.9,13.2,35.0
Germany,29,11,5,8.0,EUR,64000.0,68537.0,0.93,31.7,0.95,17.3,14.3,7.0
Russian Federation,39,25,6,23.0,RUB,6444000.0,79749.0,96.5,36.0,0.821,15.7,12.4,55.0
Netherlands,29,11,5,10.0,EUR,30000.0,32127.0,0.93,29.2,0.946,18.6,12.6,11.0
Russian Federation,39,18,6,4.0,RUB,80000.0,990.0,96.5,36.0,0.821,15.7,12.4,55.0
Italy,29,14,3,5.0,EUR,40000.0,42836.0,0.93,35.2,0.906,16.7,10.7,30.0
Italy,29,8,5,7.0,EUR,38000.0,40694.0,0.93,35.2,0.906,16.7,10.7,30.0
Sri Lanka,29,6,5,1.0,LKR,840000.0,2891.0,320.0,39.3,0.78,13.6,11.2,76.0
Germany,29,4,7,2.0,EUR,64000.0,68537.0,0.93,31.7,0.95,17.3,14.3,7.0
Sweden,39,28,5,21.0,SEK,540000.0,49756.0,11.0,29.3,0.952,19.0,12.7,5.0
Poland,29,9,6,5.0,PLN,500000.0,119631.0,4.3,30.2,0.881,15.9,13.2,35.0
United Kingdom,29,11,3,10.0,GBP,28000.0,34759.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,49,40,3,21.0,EUR,82000.0,87813.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,39,26,6,14.0,EUR,96000.0,102806.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,29,8,5,4.0,EUR,42000.0,44978.0,0.93,31.7,0.95,17.3,14.3,7.0
India,29,9,5,5.0,INR,2500000.0,30292.0,83.0,35.7,0.644,12.6,6.6,135.0
Brazil,39,21,5,17.0,BRL,80000.0,16230.0,5.01,48.9,0.76,15.6,8.3,84.0
Latvia,29,11,6,2.0,EUR,62750.0,67199.0,0.93,34.5,0.879,16.6,13.3,39.0
Germany,39,31,6,16.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
