#,country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),country_standardized
115,Benin,36000,0.04%,50.8,3.63,0.96,202.83,Benin
116,Afghanistan,35000,0.04%,15.2,3.62,0.96,201.98,Afghanistan
117,Bosnia and Herzegovina,35000,0.04%,158.4,6.55,1.73,366.11,Bosnia and Herzegovina
118,Georgia,33000,0.03%,126.0,5.04,1.33,281.51,Georgia
119,Uganda,32001,0.03%,12.4,5.7,1.51,318.52,Uganda
120,Estonia,28855,0.03%,336.0,8.35,2.21,466.57,Estonia
121,Mauritius,28000,0.03%,340.2,6.36,1.68,355.32,Mauritius
122,Albania,27000,0.03%,143.4,8.0,2.11,447.11,Albania
123,Namibia,26000,0.03%,169.0,4.8,1.27,268.18,Namibia
124,Zimbabwe,24000,0.03%,26.2,6.13,1.62,342.42,Zimbabwe
125,State of Palestine,24001,0.03%,79.4,6.62,1.75,370.13,"Palestine, State of"
126,Burkina Faso,23000,0.02%,18.9,4.33,1.14,241.74,Burkina Faso
127,Haiti,23000,0.02%,32.5,2.18,0.58,122.04,Haiti
128,Mali,21999,0.02%,18.8,4.61,1.22,257.61,Mali
129,Zambia,22000,0.02%,20.6,5.59,1.48,312.6,Zambia
130,DR Congo,21000,0.02%,4.1,4.43,1.17,247.46,Democratic Republic of the Congo
131,Tajikistan,21000,0.02%,37.2,5.94,1.57,332.06,Tajikistan
132,Mongolia,21000,0.02%,105.3,4.67,1.23,260.78,Mongolia
133,Botswana,21000,0.02%,149.0,4.29,1.13,239.42,Botswana
134,North Macedonia,21000,0.02%,154.7,7.12,1.88,397.62,North Macedonia
135,Gabon,21000,0.02%,160.3,3.65,0.97,204.1,Gabon
136,Bahamas,20036,0.02%,812.7,6.48,1.71,361.88,Bahamas
137,New Caledonia,20000,0.02%,1118.2,8.19,2.16,457.47,New Caledonia
138,Guinea,19001,0.02%,24.8,5.13,1.36,286.79,Guinea
139,Iceland,19090,0.02%,880.9,9.83,2.6,549.48,Iceland
140,North Korea,18000,0.02%,10.9,54.89,14.5,3066.75,North Korea
141,Madagascar,18000,0.02%,11.1,3.86,1.02,215.94,Madagascar
142,Laos,18000,0.02%,40.3,7.23,1.91,403.75,Lao People's Democratic Republic
143,Moldova,18001,0.02%,67.9,6.75,1.78,376.89,Moldova
144,Congo,17000,0.02%,52.3,3.94,1.04,219.96,Congo
145,Macao,17110,0.02%,428.0,5.42,1.43,302.87,Macao
146,Fiji,16000,0.02%,281.2,5.27,1.39,294.41,Fiji
147,Brunei ,16000,0.02%,584.3,0.83,0.22,46.53,Brunei Darussalam
148,Togo,15000,0.02%,30.6,3.18,0.84,177.45,Togo
149,Guyana,14000,0.01%,278.2,4.6,1.22,257.18,Guyana
150,Suriname,13000,0.01%,352.8,4.26,1.13,237.94,Suriname
151,Maldives,11000,0.01%,354.6,3.6,0.95,201.14,Maldives
152,Barbados,11001,0.01%,590.1,8.27,2.18,461.92,Barbados
153,South Sudan,8001,0.01%,11.3,4.8,1.27,268.18,South Sudan
154,Liberia,8000,0.01%,26.7,4.9,1.3,273.89,Liberia
155,Aruba,8000,0.01%,1169.4,6.08,1.61,339.67,Aruba
156,Seychelles,7299,0.01%,1169.1,6.9,1.82,385.35,Seychelles
157,Montenegro,7000,0.01%,171.1,6.46,1.71,361.03,Montenegro
158,Rwanda,6700,0.01%,8.8,5.36,1.42,299.27,Rwanda
159,Sierra Leone,6500,0.01%,13.6,5.17,1.37,288.91,Sierra Leone
160,Malawi,6001,0.01%,5.3,5.12,1.35,285.95,Malawi
161,Armenia,6000,0.01%,31.3,4.77,1.26,266.49,Armenia
162,Somalia,5600,0.01%,6.1,3.03,0.8,169.2,Somalia
163,Cabo Verde,5600,0.01%,161.6,6.86,1.81,383.24,Cape Verde
164,Lesotho,5001,0.01%,36.9,5.68,1.5,317.46,Lesotho
165,Cayman Islands,4401,0.00%,1078.3,6.27,1.66,350.24,Cayman Islands
166,Belize,4001,0.00%,166.5,6.68,1.76,373.09,Belize
167,Gambia,3800,0.00%,27.1,5.04,1.33,281.51,Gambia
168,Bhutan,3001,0.00%,62.4,4.46,1.18,249.15,Bhutan
169,Central African Republic,2800,0.00%,9.5,9.06,2.39,506.12,Central African Republic
170,Grenada,2000,0.00%,278.1,4.62,1.22,258.24,Grenada
171,Burundi,1499,0.00%,2.2,5.09,1.34,284.26,Burundi
172,Comoros,1300,0.00%,25.0,5.15,1.36,287.64,Comoros
173,Dominica,1301,0.00%,279.7,4.78,1.26,267.34,Dominica
174,British Virgin Islands,1240,0.00%,647.6,3.6,0.95,200.93,British Virgin Islands
175,Vanuatu,1100,0.00%,60.6,4.92,1.3,274.95,Vanuatu
176,Tonga,899,0.00%,136.3,16.2,4.28,905.22,Tonga
177,Saint Pierre & Miquelon,660,0.00%,1705.1,8.27,2.19,462.13,Saint Pierre and Miquelon
178,Kiribati,400,0.00%,54.5,4.09,1.08,228.42,Kiribati
179,Montserrat,400,0.00%,1231.1,4.57,1.21,255.07,Montserrat
180,Saint Helena,70,0.00%,180.2,5.53,1.46,309.21,Saint Helena
181,Niue,51,0.00%,484.4,11.43,3.02,638.73,Niue
