country,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank,country_standardized
Botswana,0.708,11.4,10.4,124.0,Botswana
Jamaica,0.706,12.5,9.2,114.0,Jamaica
Samoa,0.702,12.4,11.4,112.0,Samoa
Kyrgyzstan,0.701,13.0,12.0,116.0,Kyrgyzstan
Belize,0.7,12.4,8.8,115.0,Belize
Venezuela (Bolivarian Republic of),0.699,13.5,9.6,120.0,Venezuela
Bolivia (Plurinational State of),0.698,15.0,9.8,119.0,Bolivia
Morocco,0.698,14.6,6.1,122.0,Morocco
Nauru,0.696,12.6,9.2,117.0,Nauru
Gabon,0.693,12.4,9.6,123.0,Gabon
Suriname,0.69,11.0,8.4,121.0,Suriname
Bhutan,0.681,13.1,5.8,125.0,Bhutan
Tajikistan,0.679,10.9,11.3,125.0,Tajikistan
El Salvador,0.674,11.9,7.2,127.0,El Salvador
Iraq,0.673,12.2,6.8,128.0,Iraq
Bangladesh,0.67,11.9,7.4,130.0,Bangladesh
Nicaragua,0.669,12.6,7.3,129.0,Nicaragua
Cabo Verde,0.661,11.5,6.1,132.0,Cape Verde
Tuvalu,0.653,12.1,10.6,131.0,Tuvalu
Equatorial Guinea,0.65,12.1,8.3,133.0,Equatorial Guinea
India,0.644,12.6,6.6,135.0,India
Micronesia (Federated States of),0.634,12.6,7.3,134.0,Micronesia
Guatemala,0.629,10.8,5.7,136.0,Guatemala
Kiribati,0.628,11.8,9.1,137.0,Kiribati
Honduras,0.624,10.0,7.3,138.0,Honduras
Lao People's Democratic Republic,0.62,10.2,5.9,140.0,Laos
Vanuatu,0.614,11.8,7.2,141.0,Vanuatu
Sao Tome and Principe,0.613,12.7,5.9,143.0,Sao Tome and Principe
Eswatini (Kingdom of),0.61,14.9,5.7,142.0,Eswatini
Namibia,0.61,11.8,7.2,139.0,Namibia
Myanmar,0.608,12.1,6.5,145.0,Myanmar (Burma)
Ghana,0.602,11.6,6.4,144.0,Ghana
Kenya,0.601,11.4,7.7,147.0,Kenya
Nepal,0.601,12.6,4.5,149.0,Nepal
Cambodia,0.6,11.6,5.2,147.0,Cambodia
Congo,0.593,12.4,8.3,146.0,Republic of the Congo
Angola,0.591,12.2,5.8,150.0,Angola
Cameroon,0.587,13.4,6.5,152.0,Cameroon
Comoros,0.586,13.0,6.2,151.0,Comoros
Zambia,0.569,11.0,7.3,154.0,Zambia
Papua New Guinea,0.568,11.1,4.9,155.0,Papua New Guinea
Timor-Leste,0.566,13.2,6.0,153.0,Timor-Leste
Solomon Islands,0.562,10.3,5.9,155.0,Solomon Islands
Syrian Arab Republic,0.557,7.4,5.7,157.0,Syria
Haiti,0.552,11.1,5.6,158.0,Haiti
Uganda,0.55,11.5,6.2,160.0,Uganda
Zimbabwe,0.55,11.0,8.8,159.0,Zimbabwe
Nigeria,0.548,10.5,7.6,162.0,Nigeria
Rwanda,0.548,11.4,4.9,163.0,Rwanda
Togo,0.547,13.0,5.6,160.0,Togo
Mauritania,0.54,8.1,4.8,164.0,Mauritania
Pakistan,0.54,7.9,4.4,165.0,Pakistan
Côte d'Ivoire,0.534,10.1,4.2,166.0,Côte d'Ivoire
Tanzania (United Republic of),0.532,8.6,5.6,167.0,Tanzania
Lesotho,0.521,11.1,7.5,168.0,Lesotho
Senegal,0.517,9.1,2.9,170.0,Senegal
Sudan,0.516,8.5,3.9,169.0,Sudan
Djibouti,0.515,8.0,3.9,170.0,Djibouti
Malawi,0.508,11.5,5.2,172.0,Malawi
Benin,0.504,10.3,3.1,173.0,Benin
Gambia,0.495,9.0,4.5,174.0,Gambia
Eritrea,0.493,7.3,5.1,174.0,Eritrea
Ethiopia,0.492,9.9,2.4,176.0,Ethiopia
Liberia,0.487,10.5,5.3,177.0,Liberia
Madagascar,0.487,9.2,4.6,177.0,Madagascar
Guinea-Bissau,0.483,10.5,3.7,179.0,Guinea-Bissau
Congo (Democratic Republic of the),0.481,9.6,7.2,180.0,Democratic Republic of the Congo
Guinea,0.471,10.2,2.4,182.0,Guinea
Afghanistan,0.462,10.7,2.5,181.0,Afghanistan
Mozambique,0.461,10.7,3.9,183.0,Mozambique
Sierra Leone,0.458,9.0,3.5,184.0,Sierra Leone
Burkina Faso,0.438,8.1,2.3,185.0,Burkina Faso
Yemen,0.424,7.9,2.8,186.0,Yemen
Burundi,0.42,10.0,3.3,187.0,Burundi
Mali,0.41,7.0,1.6,188.0,Mali
Chad,0.394,8.2,2.3,189.0,Chad
Niger,0.394,7.2,1.3,190.0,Niger
Central African Republic,0.387,7.3,4.0,191.0,Central African Republic
South Sudan,0.381,5.6,5.7,192.0,South Sudan
